Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
2022-06-12,18783.0289,2777.0289,1187.0289,17596.00,1590.00
2022-06-13,15502.8089,2727.8089,1075.8089,14427.00,1652.00
2022-06-14,18467.9506,2646.9506,1089.9506,17378.00,1557.00
2022-06-15,18380.2467,2625.2467,1094.2467,17286.00,1531.00
2022-06-16,17310.1492,2716.1492,1148.1492,16162.00,1568.00
2022-06-17,15894.4025,2878.4025,1245.4025,14649.00,1633.00
2022-06-18,16296.6119,2781.6119,1156.6119,15140.00,1625.00
2022-06-19,18063.90,2809.90,1168.90,16895.00,1641.00
2022-06-20,11867.8447,2801.8447,1066.8447,10801.00,1735.00
2022-06-21,16649.1308,2686.1308,1084.1308,15565.00,1602.00
2022-06-22,18239.4394,2702.4394,1131.4394,17108.00,1571.00
2022-06-23,17848.1714,2724.1714,1159.1714,16689.00,1565.00
2022-06-24,14209.0533,2774.0533,1137.0533,13072.00,1637.00
2022-06-25,17713.7097,2722.7097,1144.7097,16569.00,1578.00
2022-06-26,13449.1172,2620.1172,1072.1172,12377.00,1548.00
2022-06-27,16598.7264,14457.7264,1095.7264,15503.00,13362.00
2022-06-28,16439.5547,32232.5547,7684.5547,8755.00,24548.00
2022-06-29,16088.4825,26630.4825,7815.4825,8273.00,18815.00
2022-06-30,14532.025 ,24933.025 ,5862.025 ,8670.00,19071.00
